clean_text,emotion_label,stress_label
makan favorit hari ini bikin bahagia serius tadi pagi sama teman kantor,happy,0.26
semangat juga mass,happy,0.2
di sini sepi banget kenapa ya,sad,0.62
geram banget sama pelayanan tadi lucu di kampus sama teman kantor,angry,0.84
lelah sih tapi puas hasilnya bagus padahal sudah coba santai sama teman kantor,happy,0.17
dear hi aku umur punya sepupu cewek umur nah dia mau nikah terus dikira mua nya aku yang mau nikah sih saudaraku ini bilang intinya mukanya borosan aku ada tidak sih skincare yang gabikin muka boros sedih banget diejek begitu,sad,0.71
geram banget sama pelayanan tadi banget asli di rumah sama dia,angry,0.95
kesal banget hari ini serius tadi pagi,angry,0.79
semangat,happy,0.14
anxious banget sebelum meeting tadi banget asli pas perjalanan sama teman kantor,anxious,0.95
tolol banget nilo jilat tahi sebdiri guwvtakut sih bayangkan omar marahh eumm,angry,0.88
santai bos tidak uh emosi sabar oke biarkan mereka menilai seperti ya apa kita cukup memilih mana yang lebih cocok lucu,happy,0.1
jika dia marah padamu cium dia,neutral,0.22
setuju banget lama lama juga agak bagaimana begitu lihat yang suka bilang begitu,neutral,0.3
anxious banget sebelum meeting tadi sumpah tadi pagi,anxious,0.81
biyar semangat,happy,0.1
takut gagal di presentasi besok sih di rumah sama keluarga,anxious,0.78
makan favorit hari ini bikin bahagia agak random sih bareng teman sama dia,happy,0.14
inconsistent tidak menentu serba berlawanan dengan tindakan dan emosi yang tidak berdasarkan logika,neutral,0.32
sudah sabar tapi masih dibohongi padahal sudah coba santai tadi pagi sendiri,angry,0.76
kadang tetangga sih suka reseg eh sih a saja sudah nikah masa kamu belum ih kesal banget padahal kan nikah bukan lomba by the way aku jual spotify premium bulan cuma ke dan masih banyak app premium lainnya yuk buruan order,neutral,0.31
kelemahan seorang lelaki yang apabila suami yang tidak bisa sabar dengan kondisi perempuan jika mandul nikah lagi cari yang lain jika di pukul atau di diskriminasi diam tutup aib jika nafsu muncul penuhi jangan sampai berkata tidak sedih banget jadi perempuan,sad,0.7
benci banget sama diri sendiri gampang menangis kalau mengobrol sama orang tua,angry,0.86
saya saja suka sudu kalau suka kamu nanti garfu marah,neutral,0.32
bunga matahari biar cerah terima kasih,neutral,0.27
nah ini yang saya kesal saya sih b saja lah lihat sih bright sama itu soalnya kayak phinong banget tetapi yang saya benci kalau kayak begitu suka ngelunjak anjr fan nya mana menjelekkan ini iwin lagi terus pasti sudah kayak berasa real banget padahal cuma fanservice,angry,0.87
sibuk santai lucu,neutral,0.29
one day eh mengenalkan nih dimas adik kamu dimas cuk iya dimas siapa anjir dimas goblok maksud gue dimas siapa kenapa ada dirumahlu ikut foto keluarga tolol iya dia dimas budek iya kamu,neutral,0.21
pantas saja gelarnya diduga palsu minimal hasil nyuap sok keren gunakan istilah coattail coat tail buzzer yang profesornya saja kualitasnya begini apalagi yang cuma ikut liqo minggu,neutral,0.37
bingung dan takut ambil keputusan banget bareng teman sama dia,anxious,0.97
sekian saya sampai detik ini masih suka feel sok amazed banget sama jungwon keren banget sudah pokoknya nih anak kalau saya jabarin satu satu bisa jadi manuskrip berharga yang diperebutkan seluruh dunia,happy,0.01
spill cara biar sayang tidak marah gas,neutral,0.29
takut kalau hasilnya jelek banget sama keluarga,anxious,0.85
aku cuma ingin istirahat sebentar dan kepikiran terus di kampus sama keluarga,sad,0.72
rasanya ingin marah terus dari tadi kepikiran di rumah sama teman kantor,angry,0.78
rasanya sedih banget akhir akhir ini lucu tadi pagi sama dia,sad,0.61
paling benci kalau emak bapak sudah membicarakan jodoh im still fuckin,angry,0.89
kesal banget hari ini lucu di kantor,angry,0.75
dia punya keinginan besar buat hidup dan balas dendam makanya dia tetap hidup meskipun setengah zombi,neutral,0.37
mumpung masih sedih habis baca unspeakable mari kita lanjut apa biar makin makin sedihnya,sad,0.6
masih kepikiran ji ung kenapa rela suka sama yeon su lama banget ya padahal sudah dari jaman kapan tau memang yeon su cuma buat choi ung sepaket pemeran utama tidak akan yang tiba move on tidak sih orang kayak yeon su sayang waktunya mas,anxious,0.77
mbesuk yen kamu uwis tidak dengar kabarku ngapuranen aku sudah tau ngarepke kamu,neutral,0.28
sayang tapi ya tidak bakal bisa bersatu sebatas suka saja sebatas teman dekat itu sudah lebih dari cukup insya allah,sad,0.52
kangen kee apa kabar,neutral,0.38
aku cuma ingin istirahat sebentar banget tadi pagi,sad,0.63
apa apaan ini benci banget pagi pagi lewat lini masa bikin iri dengki,angry,1.0
terima kasih ya sudah bikin hariku lebih baik sumpah di kantor sama dia,happy,0.1
hal yang membuat anda kecewa me,sad,0.68
kenapa loyo itu semangat juga ya iyen jaga kesehatannya jangan lupa,happy,0.2
rasanya ingin marah terus tapi ya sudahlah di rumah sendiri,angry,0.87
cuma aku malu saja buat ngepublish ke orang lain karena dia juga tidak pernah publish aku,anxious,0.75
kok bisa setengah doang waduh asyik banget kak juyeon suka lagu yang mana,happy,0.05
hari ini berat banget dijalani lucu di kantor,sad,0.84
mmf ya sayang menanyakan hal bodoh xixi,angry,0.93
semoga cepat sembuh tidak enak gatal gatalnya,happy,0.13
grogi bodoh,anxious,0.82
rasanya kosong saja hari ini lucu di rumah sama dia,sad,0.76
marah banget karena pekerjaan berantakan tapi ya sudahlah tadi pagi sama dia,angry,0.78
jangan marah marah,neutral,0.4
geram banget sama pelayanan tadi agak random sih bareng teman sama dia,angry,0.73
yeaa surat pemberitahuan tahunan biasa,neutral,0.3
akhir minggu ini seru banget dan kepikiran terus di kantor,happy,0.25
khawatir sama kondisi sekarang jujur saja di kantor sama keluarga,anxious,0.88
ada ya orang jumat baru keluar rumah sakit sore nya tiba jatuh jadinya sedih mulu sampai sekarang tapi sabtu paginya sudah disuruh kekampus sampai malam alamat masuk rumah sakit lagi ini adalah,sad,0.75
kegagalan pasti ada tetap semangat jangan putus asa elangga,neutral,0.32
cemas memikirkan masa depan waktu malam sama keluarga,anxious,0.86
akhir minggu ini seru banget hari ini di rumah sama dia,happy,0.08
pandemi covid telah menghambat investasi untuk membangun infrastruktur yang berdaya tahan tinggi a aspek aspek apa saja yang dapat mendorong terwujudnya infrastruktur berkualitas di asia a baca,neutral,0.34
benci banget soalnya kepikiran bagian sih kawan mninggoy abjingkk,angry,0.89
sch sender pernah dikasih ini sama guru sender waktu sampai mak jelbb pas dikasih sekarang sender sudah sama kelas tetapi masih suka youtube an apa lagi ngdrakor benar benar susah banget lepasnya,neutral,0.22
takut gagal di presentasi besok sumpah di kantor sama keluarga,anxious,0.76
txt members juga lagi pada sepi sepi saja sepertinya lagi ada schedule iya kemarin,neutral,0.29
arrgh pagi pagi emosi,angry,0.98
emosi lihat komentar orang tadi jujur saja di rumah sama keluarga,angry,0.73
mau nomor buat verifikasi sedih akun ke log terus,sad,0.72
kehilangan semangat buat kenapa apa serius di kampus,sad,0.76
malam ini kepikiran terus jadi sedih tapi ya sudahlah bareng teman sama dia,sad,0.71
mau agak bar bar tapi agak takut juga kak,anxious,0.72
tell seller yang open sharing photopack sg suka lelah tidak jualkan sisa sharing kayak susah banget ada yang ngelirik polaroid sama pc konsep sekalinya ada cust yang mau beli pola sama pc konsep langsung pikir oh my god ada malaikat karena sesusah itu,neutral,0.32
terima kasih ya sudah bikin hariku lebih baik tadi pagi sama teman kantor,happy,0.1
tidak tau tetapi dengarnya sedih banget,sad,0.61
sedih kulkasku cuma isi bunga es sama sayur,sad,0.73
akhir minggu ini seru banget lucu di rumah sendiri,happy,0.18
tidak usah pura kaget bikin jengkel,angry,0.91
ket kamu tidak takut kuliah hukum kah ket,anxious,0.83
sudah sabar tapi masih dibohongi dan kepikiran terus di kampus sendiri,angry,0.72
tiba tiba teringat dulu pas orientasi studi dan pengenalan kampus ada senior yang baik banget sama aku sampai diajak mengobrol pakai bahasanya dia aku tidak mengerti dong ternyata dia pikir sekolah asalku dari provinsi dia padahal beda lucu tapiya tetap baik sih cuma dia agak malu saja tiap ketemu,happy,0.17
tapi walaupun ada scene ai di rumah sakit rating malah turun karena setiap scene ada sih jessi yang muncul jadi pindah chanel tiep dia muncul lebih baik ku lihat konflik perebutan reyna walaupun harus emosi juga lihat tingkah kuyang tapi ketimbang aku lihat sih jessica,angry,0.92
aku boleh suka sama orang lagi takut dibilang sasimo,anxious,0.74
sini kak ke saja,neutral,0.34
hari ulang tahun bukannya bahagia malah sedih dari sekian banyak teman yang mengucapkan cuma,sad,0.58
lupakan saja kawan on time bukan budaya kita aku iya begitu kalau tidak ontime hati gelisah pas ontime sepi,neutral,0.34
rasanya sedih banget akhir akhir ini banget asli sama dia,sad,0.59
klik pesan ayam bakar lewat,neutral,0.29
lelah sama keadaan sekarang banget asli tadi pagi sama dia,sad,0.84
baim orang kaget menemukan banyak ular di rumahnya,anxious,0.82
masih susah pindah on dari kejadian itu jujur saja di kampus sendiri,sad,0.84
sebenarnya lagi gelisah sedikit soalnya tadi sekolahku banyak yang positif tapi overall baik baik saja kook hbu,anxious,0.78
asyik permainan emosi dimulai yang bermain dan terlibat ngeri ngeri sedap siap menyiapkan pukulan tangkisan indikasi sih positif melawan hukum cuma upaya mencari keringanan saja tamatlah sudah karier yang didapat dengan cara enggak berkah,anxious,0.75
tidak ada waktu apa takut ada mata ww,anxious,0.78
sender suka banget member di era era di bawah ini sehenernya ini pilihan yang sulit mengingat semua member pada cakap di era apapun itu lucu kalau versi kalian bagaimana nih,neutral,0.29
cerah banget,happy,0.1
akhir minggu ini seru banget tapi ya sudahlah di rumah sama teman kantor,happy,0.16
saya mau marah banget bacanya ya allah masih pagii ini emosi saya di uji mulu perasaan,angry,0.87
marah banget karena pekerjaan berantakan sumpah di kantor,angry,0.71
saya masih sedih sudah difb base rh tetapi gue tidak bisa mengirim arghh benaran saya lebih memilih untuk tidak apa apa keunfoll sendiri driada harus cari folls diakun ini akun teraman,sad,0.63
khawatir sama kondisi sekarang di kantor sama teman kantor,anxious,0.86
gila malu banget lah,anxious,0.82
oh my god finally ada kabar baik pagi ini jimii sayang kuat banget hebat banget bangga sama jimii sekarang banyak ini istirahat dulu ya sayang mam yang banyak jangan cape semoga semakin cepat pulih kesayangan lulls,happy,0.16
memang kehilangan member saja sakit hatinya luar biasa,neutral,0.22
ih enak banget have fun ya,happy,0.18
sedih banget ajjiirr tetapi happy akhir sih,sad,0.72
sikap terbuka lembar menyenangkan hasil penelitian washington state universitas wsu pullmanas menunjukkan sikap tbk dapat mencipta kan perasaan positif mereka yang berperilaku tbk juga lembar menyenangkan teliti memiliki emosi stabil sebabnya mereka tidak terbatasi oleh tekanan luar media indonesia,neutral,0.32
malam ini kepikiran terus jadi sedih hari ini di kampus sama keluarga,sad,0.58
lelah sama keadaan sekarang tapi ya sudahlah di kantor,sad,0.82
akhir minggu ini seru banget serius tadi pagi sama dia,happy,0.07
orang itu bikin emosi banget sih sama teman kantor,angry,0.94
hari ini berat banget dijalani sumpah di kampus sendiri,sad,0.7
hari ini berat banget dijalani lucu waktu malam sama dia,sad,0.84
sebenarnya malas bbgt saya itu kalau bikin persona seolah saya biasa saja sama newwie padahal nya adalah gila banget akwkwawkkawkaw,happy,0.18
kenapa sih harus bikin masalah terus dari tadi kepikiran sama teman kantor,angry,0.85
anonim pak dok ava nya colongan biasa mancing keributan tidak usah dlayanin,neutral,0.28
gue sedih banget,sad,0.53
makasiih iya ya ampun kaget banget,happy,0.15
sepertinya saya mati rasa tidak deng bukan mati rasa cuma belum pindah on saja makanya dibuat bawa perasaan tidak bawa perasaan bawa perasaan awalnya ditinggikan terus sekarang dijatuhkanpun tidak merasa sedih juga,neutral,0.22
banguna buka livescore manu kalah biasa,neutral,0.22
orang itu bikin emosi banget jujur saja waktu malam sendiri,angry,0.88
polos banget kamu v ada yang hate kamu malah kamu anggap bercanda benar tidak menyangka masih saja ada yang tidak suka sama orang baik seperti ini,angry,0.97
iya iyaang mau reply biasa saya kong tapi saya tag bapak adek takut anu nanti,anxious,0.75
jadi malu tapi seru lucu lucu,happy,0.2
kamu berdua bego tidak usah berebut,angry,0.9
aku cuma ingin istirahat sebentar dan kepikiran terus bareng teman sama teman kantor,sad,0.6
memang lebih baik sih baby bahagia sama yang lain karena dasarnya saja sejak tahun yang lalu pas sih om lupa ingatan sih om sudah hilang rasa kan sama baby drpda di paksa mending baby sama yang lain saja yang benar tulus sih om juga sudah menemukan bahagia a yang lain kan,happy,0.05
bodoh itu adalah xixi,happy,0.05
bingung dan takut ambil keputusan lucu waktu malam sendiri,anxious,0.89
enak dong,happy,0.01
dapat kabar baik dari keluarga tadi pagi jujur saja di rumah sama dia,happy,0.2
hari ini berat banget dijalani banget waktu malam sama keluarga,sad,0.85
hanya orang orang bodoh saja yang masih mengagungkan seseorang yang tak tau kerja,neutral,0.24
merasa sendirian akhir akhir ini waktu malam sama dia,sad,0.76
paling enak jadi orang yang kalem,happy,0.13
bingung dan takut ambil keputusan padahal sudah coba santai waktu malam sama teman kantor,anxious,0.77
bingung dan takut ambil keputusan lucu di rumah sendiri,anxious,0.79
beberapa orang menangis bukan karena sedih tapi karena fyp tiktok isinya momen earthmix,neutral,0.29
bingung dan takut ambil keputusan dari tadi kepikiran sendiri,anxious,0.71
buat kali ini saya tidak mengerti sama jalan pikira kamu gar yang jelas jelas vara lagi hamil goblok dan satu lagi buat kamu zara saya tau kamu kaget kecewa sama kakak kamu tetapi dia lagi hamil anjritt dan kamu tak tau alasan kenapa kakak kamu melakukan itu semua anjing emosi banget saya,angry,0.93
becek sedikit enak kok,happy,0.09
huahh benci covid banget semoga berhenti di jimin tidak ada jungkook dan juga taehyung no god please,angry,0.87
akhir akhir ini cemas terus banget asli pas perjalanan,anxious,0.76
betoii ustaz saya setuju kalau dan dengan saya memang takdak lah saya layan baik dulu kan orang tua kata uji kesabaran lelaki buat dia marah buat kasar pasti tengok dia bersabar kakak indak kalau bersabar dan setia tunggu kita jangan lepaskan dia lulus kahwin saya ikut,neutral,0.22
dok hari ini sendiri ya perawat gigi nya libur lah pantas kok jam segini masih sepi,neutral,0.2
saturasi kamu di atas kan iya saya mau tes maju mundur takut semoga kamu cepat sembuh istirahat yang banyak jangan banyak pikiran,neutral,0.38
begitu bangun dapat kabar baik dari jimin,happy,0.0
spill saja mint,neutral,0.26
twrpantau belu malu,anxious,0.9
khawatir sama kondisi sekarang lucu di kantor sama dia,anxious,0.79
sepanjang perjalanan hidup ini terlalu banyak perkara aku lalui banyak juga kenangan yang telah tercipta aku harap di masa akan datang aku hidup lebih bahagia,happy,0.09
geram banget sama pelayanan tadi hari ini tadi pagi sama teman kantor,angry,0.83
psi walau di benci tapi mengalami kenaikkan elektabilitas mungkin karena progres nya terlihat jelas oleh publik,neutral,0.27
lelah sih tapi puas hasilnya bagus sih pas perjalanan sendiri,happy,0.06
salah satu sudut bibirnya kembali tertarik ke atas membuat senyum tipis terpatri pada paras tampan miliknya dengan penuh semangat ia melanjutkan bait dari lagu anak sekolah ini tiap kali kamu bermanja gemetar rasa di dada ingin kubisikkan cinta tapi hati ini malu jadinya,neutral,0.39
dia siap kata kalau alter perkataan kena sign tepi itu halo aku ke yang kena sign tanya lah front hang apesal aku lak yang diragukan nasib kali kena carut aku dahlah aku marah betul kalau orang spoil suasana hati aku pepagi,angry,0.99
lucu wkwk memang kamu punya agama benci banget sama yang berbau islam begitu,angry,0.89
tapi itu langitnya cerah,happy,0.0
ya ini satu nya pesan mama sama bapak sehari sebelum nikah jangan pernah mukul istri atau anak kamu nanti,neutral,0.29
a lucu kamu ini bisa saja karena tak ada kegiatan akhirnya aku berkebun saja jujur katarina malu,neutral,0.24
sebab itu kalau orang macam nih nak jalan aku buat kali tahu je selamba je jalan kamu kali deh hak nak halang jalan orang kecuali ambulans bodoh,angry,0.98
benci banget saya anjing sama kegiatan yang namanya bangun pagi,angry,0.86
ada dan pernah mengalami lebih baik memang diakhiri saja wkwq,neutral,0.37
cemas memikirkan masa depan banget di kampus sama dia,anxious,0.84
kadang saya sedih kenapa jadi orang yang kalau ada apa diampet dewe kan jadi mumet dewe,sad,0.56
baru bangun dapat kabar baik,happy,0.18
saya kalau pms sakit bel tetapi tidak mau minum obat takut ketergantungan sudah mencoba dikompres pakai air hangat enggak tadii,anxious,0.77
jelek banget sabtu mu semangat ya jangan lupa sarapan,happy,0.16
semangat cari duitnya,happy,0.06
semangat senpaii,happy,0.18
di taman nasional wasur kanguru kecil walabi yang biasa disebut saham relatif mudah ditemui perburuan tradisional yang sejalan dengan prinsip keberlanjutan diizinkan perburuan yang merusak jadi tantangan,neutral,0.27
merasa sendirian akhir akhir ini sih pas perjalanan sama teman kantor,sad,0.79
sabar ya mbak bingung mau berkata apa kalau aku pribadi jadi mbaknya akan marah besar sih,anxious,0.87
semangat thor pokoknya semangat,happy,0.06
senyum sendiri pas ingat kejadian tadi sih di kantor,happy,0.25
ketahuan deh biasa mencari di cari barnya,neutral,0.21
sepertinya harus cari teman lagi karena lini masa sepi sekali,neutral,0.37
masih susah pindah on dari kejadian itu serius bareng teman sama keluarga,sad,0.81
ada tidak sih yang semangat siap siap kemana begitu eh sampainya di sana jadi bdmd tak tau karena apa,happy,0.02
takut ditabok,anxious,0.89
akhir akhir ini cemas terus padahal sudah coba santai di kantor sama teman kantor,anxious,0.77
anginnya kencang banget takut,anxious,0.86
akhir akhir ini cemas terus agak random sih tadi pagi,anxious,0.98
kalau itu artinya cerdas bodoh selamanya pun aku tak keberatan uzumaki naruto,neutral,0.38
biasa di modusin kan,neutral,0.32
alhamdulillah dapat kabar baik,happy,0.15
sedih karena belum dapat kabar dari sayang,sad,0.75
alhamdulillah tidak jadi malu untuk kesekian kalinya,happy,0.17
oit bagaimana kabar kamu lucu,happy,0.01
kumpul keluarga relative wah sudah gede banget kamu sekarang hobinya apa saja mak gue oh sih ini suka banget baca relative wah iya kah pantas saja kacamatamu tambah tebal itu gue lucu iya tante also gue yang dibaca manga sama fanfiction smut tertawa habis,happy,0.09
sudah dikejutkan tanpa di bangunkan lagi kamar sudah sepi dan berangkat ke masjid sholikhah semunya anak ada perkembangan nih,neutral,0.31
akhir akhir ini cemas terus dan kepikiran terus pas perjalanan sama keluarga,anxious,0.96
wkwk ribet banget sudah paham kok di memaksa jadi tolol tidak paham aduh,angry,0.92
kalah menang dalam sebuah match hal yang biasa tapi manchester united ini lawak banget bisa bisanya kalah sama klub beda divisi adu penalti full skuad,neutral,0.29
nanti ya kalau lagi santai,neutral,0.37
bingung dan takut ambil keputusan sumpah di rumah,anxious,0.89
tidak enak rasanya,sad,0.68
satu hal lain yang kami rasa perlu untuk dibahas adalah sebuah agenda politik yang dihadirkan dalam plot film yang begitu kentara dan terlihat jelas dari awal hingga akhir film kami pribadi sih tidak terlalu ambil pusing dan lebih memilih menikmati filmnya saja,neutral,0.23
geram banget sama pelayanan tadi lucu tadi pagi,angry,0.8
diam adalah jawaban terbaik untuk menghadapi orang bodoh,angry,0.9
malam ini kepikiran terus jadi sedih banget asli di rumah sama dia,sad,0.64
aku sudah terbayang anak aku sedih tengok ryan,sad,0.64
belum menonton saja sudah sedih sedih tidak bisa baca judulnya kampret,sad,0.57
aduh benci ah last minit xnak hantar,angry,0.87
alhamdulillah jimin pagi yang baik kabar yang baik,happy,0.06
geram banget sama pelayanan tadi lucu di kampus,angry,0.86
akhirnya lolos interview kerja sih di rumah sama teman kantor,happy,0.14
bingung dan takut ambil keputusan tapi ya sudahlah waktu malam sama dia,anxious,0.83
anxious banget sebelum meeting tadi tapi ya sudahlah sama dia,anxious,0.8
simpang air hitam antrean kendaran normal dikeempat kaki simpang situasi arus lalu lintas lancar,neutral,0.34
sedih oi tolong,sad,0.76
kesal banget sama orang yang tidak tepat waktu banget asli di rumah,angry,0.9
bingung dan takut ambil keputusan serius bareng teman sama keluarga,anxious,0.79
tidak enak banget ini,sad,0.75
setelah putus sama dia tahun lalu kenapa aku masih saja dikasih mimpiin dia padahal memikirkan dia saja tidak lah kan kangen jadinya apa kabar ya dia sekarang dia pernah mimpi aku juga tidak ya,neutral,0.35
takut gagal di presentasi besok sih bareng teman sama teman kantor,anxious,0.82
tiap pagi sedih,sad,0.74
aku sedih nder,sad,0.73
malu memalukan punya teman kayak kamu idiot,angry,0.93
tidak ada yang menonjol semua biasa saja,neutral,0.23
suami menuntut istri taat tanpa suami menuntut pun agama sudah mewajibkan suami mengejar nafsunya sendiri itu jelas salah namanya hawa nafsu ya harus dikendalikan seolah jika tidak boleh berpoligami perzinaan ditanggung istri zinah ya zinah saja dosa suami,neutral,0.23
senyum sendiri pas ingat kejadian tadi sih di kantor,happy,0.15
deg degan menunggu hasil pengumuman banget asli di rumah sama dia,anxious,0.95
kalian apa bangsat,angry,0.91
setelah kemarin ditinggal snowdrop terus minggu sekarang ditinggal bulgasal minggu depan sepertinya bakal sepi banget tidak akan ada yang menemani malam mingguan lagi,sad,0.77
pasar lagi sepi,sad,0.77
takut gagal di presentasi besok padahal sudah coba santai pas perjalanan sendiri,anxious,0.91
kemarin kepalaku pusing terus badan greges jadi tidur saja pilihanku apakah sudah makan sebelum itu,neutral,0.26
mjb dipancing pakai lagu yang sedih saja,neutral,0.3
rata kalau cuma follow tidak ada deh yang pakai proof aku pribadi suka kasih karena biar tidak ke kelewat jeda waktu yang menit,neutral,0.38
geram banget sama pelayanan tadi jujur saja tadi pagi,angry,0.78
mandi air hangat pakai garam enak juga ya langsung freshh ke badan,happy,0.02
haloo my lovely jejee gue tidak apa apa kok lucu kamu juga semangat ya,happy,0.19
rasanya sedih banget akhir akhir ini agak random sih di kampus sendiri,sad,0.81
dan yang booster bisa jadi orang yang tidak bodoh dan ekonominya tidak pas pasan jadi tidak ada masalah buat swab jadinya ketahuan positif deh,neutral,0.23
halo pagi pagi enak nya jajan di ada nih langsung proses langsung copy paste fast seperti burok trusted legal bergaransi payment all e wallet qris direct message a,neutral,0.35
sudah banyak masyarakat yang tau gerak gerik pembohong penjual dalil sih bangsat provokator hem pemecah belah anak bangsa memang polisi seharusnya sgr menjebloskan bui bajingan jnj,angry,0.99
aku selama dapat nilai tidak remidi disyukuri saja,neutral,0.2
fomo adalah singkatan dari fear of missing out yang berkaitan dengan sebuah perasaan yang takut tertinggal atau ketinggalan karena tidak mengikuti sebuah aktivitas atau tren tertentu,neutral,0.31
mau menangis yedam sunu i did itu benar tidak menyangka sama sekali dapat hasil segini karena memang ujian akhir semester kemarin putus asa banget takut tidak sesuai harapan dan bikin orang tua kecewa,sad,0.65
lelah menghadapi orang yang egois banget waktu malam sama dia,angry,0.66
bisa bisanya mark tidak calling saya marah,angry,0.88
selamat pagi jangan pada kecewa ini wiken lah,neutral,0.27
mu tersingkir di fa cup jangan bercanda deh kalau memberi kabar itu ah,anxious,0.87
boleh berbicara bangsat tidak sih masih pagi sudah emosi jiwa,angry,0.86
markf semangat ke lagi buat mencapai target we can di itu kok yuk semangat,happy,0.14
geram banget sama pelayanan tadi sumpah di rumah sama keluarga,angry,0.93
senyum sendiri pas ingat kejadian tadi hari ini sendiri,happy,0.17
cemas memikirkan masa depan sumpah di kampus,anxious,0.88
aku benci kenapalah korg tepuk masa nih hoi,angry,1.0
benci banget,angry,0.87
kalian yang sudah b ster efeknya bagaimana saya masih lama sih jadwalnya cuma kok saya takut mau ambil b ster saya pikir b ster efeknya lebih horor dari yang pertama,anxious,0.88
warded lagi ke muka sedih je,sad,0.73
mbl mbl murah banget loochh ayo guys join go miracle suka dari p jajan murah sekali rd sering open sh ring merch juga dan sekarang lagi open tabungan buat coba bangtan tabungan mulai ke saja guys yuk gas join link di rep ya,neutral,0.36
hari ini produktif dan suasana hati bagus dari tadi kepikiran di rumah,happy,0.08
mana struknya sudah dibuang lagi bego banget gueh,sad,0.77
iya aku lihat ini di berita sedih banget bapak e menangis,sad,0.71
bingung dan takut ambil keputusan padahal sudah coba santai di kantor sama dia,anxious,0.8
di kompleks aku juga begini kakek jual lap pel memelas cerita sedih aku kasihan dong aku beli dengan harga mahal eh besoknya dia begitu lagi garang banget jadi aku marahi terus kabur ada nenek pengemis begitu juga tiap hari aku kasih duit kasih makanan ketemu di indoapril lagi menukar duit juta hari,angry,0.91
kalau ibu sakit ya ibu tetap harus siapkan makanan dan lain lain dan lain lain walau pakai delivery order segala macam semangat ya bu,happy,0.01
biasala pagi pagi aku merampus mask pon boleh jadi punca aku marah sudah itu nak merembat mask putih walhal itu untuk pergi kerja,neutral,0.24
enggak boleh marah nanti cepett tua,angry,0.95
merasa sendirian akhir akhir ini agak random sih tadi pagi sendiri,sad,0.6
wah iya takut nih yang satu tim sama mas,anxious,0.76
sudah sabar tapi masih dibohongi lucu di kantor sama dia,angry,0.74
merasa sendirian akhir akhir ini banget asli di kampus sendiri,sad,0.67
idih nuning kabur dari space kakak ciba takut ya,anxious,0.73
akhir minggu ini seru banget hari ini di rumah sama dia,happy,0.08
kali suka seseorang dan orang itu suka orang lain berturut turut sedih amat hidup saya,sad,0.69
dulu kesannya lama banget waktu awal early suka sama nih cowok cuma ada acc doang yang isinya screencaps mark begini,neutral,0.27
kenapa saya bego banget sih,sad,0.75
kehilangan semangat buat kenapa apa di kampus sama keluarga,sad,0.81
senang banget hari ini ketemu teman lama bareng teman sama keluarga,happy,0.19
takut tambah dewasa,anxious,0.72
masya allah awalnya saya suka dengarkan lagu lagu klasik begitu pas menjelang mau tidur tapi terus teman saya bilang bagaimana kalau kamu meninggal nanti disetelinnya korea pop bukan al alquran takut saya,anxious,0.75
lelah menghadapi orang yang egois sumpah bareng teman sama keluarga,angry,0.76
rasanya kosong saja hari ini tapi ya sudahlah di kantor sama dia,sad,0.74
sih tidak bisa santai kalau pakai blush sampai jengkelan,neutral,0.23
pagi pagi sudah dapat kabar saja dari teman antara sedih dan bahagia tetapi banyak sedihnya sih,sad,0.61
takut kalau hasilnya jelek jujur saja sama teman kantor,anxious,0.97
kesal banget hari ini bareng teman sama keluarga,angry,0.76
gs astra menjadi pilihan utama oleh hampir seluruh produsen kendaraan bermotor di indonesia oem quality jadi jangan ragu untuk membeli produk di gs astra ya,happy,0.1
jangan kencang nanggepinya bagi akun cuma pengikut adalah biasa reply idiot begitu akwoakwokw,happy,0.13
sudah sabar tapi masih dibohongi banget pas perjalanan sama teman kantor,angry,0.82
kakak ku pernah bigwin di salah satu host tidak indonesia dan itu pertama kali dia senang banget,happy,0.06
saya dicegat sama dia firasat saya sudah tidak enak nih sumpah dia bilang saja saya kangen sama kamu saya kaget dong anjritt saya diam kayak orang bego sumpah terus dia langsung pergi begitu saja meninggalkan saya yang lagi cengo,happy,0.17
kalau gigit bibir termasuk tidak sih kak kaya aku kalau lagi emosi lagi sedih itu bawaannya gigit bibir bagian bawah sampai rasanya kebas begitu pernah saking kencengnya takut sobek,neutral,0.39
marah banget karena pekerjaan berantakan sumpah di kantor sama dia,angry,0.86
halo halo kenalan dulu yuk sama darion main fc aku jungkook nih dan kurang lebih mengerti dan paham banget lah sikapnya jungkook mau jungkook versi baby atau versi talented bisa banget aku sendiri orang yang talktive dan bubbly kalau chat flirty manja dan suka pampering partner,neutral,0.37
negara kita negara demokrasi saling menghormati lebih penting nur wahid takut banget sama namanya museum,anxious,0.85
nesv solusi penghilang keputihan perapat miss v pesan pin di sih di wa,neutral,0.39
emosi lihat komentar orang tadi tapi ya sudahlah di rumah sendiri,angry,0.87
benar banget jaman sama dulu ada lagi teman yang suka begitu mana dia bangga banget habis menipu demi bantuan di depan saya padahal tinggalnya di kompleks perumahan yang bagus mau marahi tapi asyudahlah dianya juga tidak ada kesadaran,angry,0.9
aku cuma ingin istirahat sebentar sumpah sama dia,sad,0.84
glad tapi know that semangat sender itu tiap semester sudah ada peningkatan bagus banget semoga dilancarin skripsinya ya,happy,0.07
kecewa banget sama hasilnya dan kepikiran terus pas perjalanan,sad,0.71
