text,emotion_label,text_clean,text_casefoldingText,text_slangwords,text_tokenizingText,text_stopword,text_akhir,emotion_id
Hari ini karena jalan sore,neutral,Hari ini karena jalan sore,hari ini karena jalan sore,hari ini karena jalan sore,"['hari', 'ini', 'karena', 'jalan', 'sore']","['jalan', 'sore']",jalan sore,3
Untung aja pas nilai revisi naik,happy,Untung aja pas nilai revisi naik,untung aja pas nilai revisi naik,untung saja pas nilai revisi naik,"['untung', 'saja', 'pas', 'nilai', 'revisi', 'naik']","['untung', 'pas', 'nilai', 'revisi']",untung pas nilai revisi,2
Capek banget pas hubungan jadi awkward aku jadi males ngomong,sad,Capek banget pas hubungan jadi awkward aku jadi males ngomong,capek banget pas hubungan jadi awkward aku jadi males ngomong,capek banget pas hubungan jadi awkward aku jadi males bicara,"['capek', 'banget', 'pas', 'hubungan', 'jadi', 'awkward', 'aku', 'jadi', 'males', 'bicara']","['capek', 'banget', 'pas', 'hubungan', 'awkward', 'males', 'bicara']",capek banget pas hubungan awkward males bicara,4
Aku cuma karena edit dokumen kayak hari biasa aja,neutral,Aku cuma karena edit dokumen kayak hari biasa aja,aku cuma karena edit dokumen kayak hari biasa aja,aku cuma karena edit dokumen kayak hari biasa saja,"['aku', 'cuma', 'karena', 'edit', 'dokumen', 'kayak', 'hari', 'biasa', 'saja']","['edit', 'dokumen', 'kayak']",edit dokumen kayak,3
Aku jadi kepikiran pas belum dapat kerja dan susah tidur jadinya,fear,Aku jadi kepikiran pas belum dapat kerja dan susah tidur jadinya,aku jadi kepikiran pas belum dapat kerja dan susah tidur jadinya,aku jadi terpikirkan pas belum dapat kerja dan susah tidur jadinya,"['aku', 'jadi', 'terpikirkan', 'pas', 'belum', 'dapat', 'kerja', 'dan', 'susah', 'tidur', 'jadinya']","['terpikirkan', 'pas', 'kerja', 'susah', 'tidur']",terpikirkan pas kerja susah tidur,1
Aku puas karena pas project selesai tepat waktu aku jadi makin termotivasi,happy,Aku puas karena pas project selesai tepat waktu aku jadi makin termotivasi,aku puas karena pas project selesai tepat waktu aku jadi makin termotivasi,aku puas karena pas project selesai tepat waktu aku jadi makin termotivasi,"['aku', 'puas', 'karena', 'pas', 'project', 'selesai', 'tepat', 'waktu', 'aku', 'jadi', 'makin', 'termotivasi']","['puas', 'pas', 'project', 'selesai', 'termotivasi']",puas pas project selesai termotivasi,2
yg biasa.. terus dikasih bonus yg alpha gara ngehold yg biasa ..,neutral,yg biasa terus dikasih bonus yg alpha gara ngehold yg biasa,yg biasa.. terus dikasih bonus yg alpha gara ngehold yg biasa ..,yang biasa.. terus dikasih bonus yang alpha gara ngehold yang biasa ..,"['yang', 'biasa', '..', 'terus', 'dikasih', 'bonus', 'yang', 'alpha', 'gara', 'ngehold', 'yang', 'biasa', '..']","['..', 'dikasih', 'bonus', 'alpha', 'gara', 'ngehold', '..']",.. dikasih bonus alpha gara ngehold ..,3
bego bgt knpa maksa ya,angry,bego bgt knpa maksa ya,bego bgt knpa maksa ya,bego banget kenapa maksa iya,"['bego', 'banget', 'kenapa', 'maksa', 'iya']","['bego', 'banget', 'maksa']",bego banget maksa,0
Jujur agak cemas pas nilai jelek keluar minggu depan dan susah tidur jadinya,fear,Jujur agak cemas pas nilai jelek keluar minggu depan dan susah tidur jadinya,jujur agak cemas pas nilai jelek keluar minggu depan dan susah tidur jadinya,jujur agak cemas pas nilai jelek keluar minggu depan dan susah tidur jadinya,"['jujur', 'agak', 'cemas', 'pas', 'nilai', 'jelek', 'keluar', 'minggu', 'depan', 'dan', 'susah', 'tidur', 'jadinya']","['jujur', 'cemas', 'pas', 'nilai', 'jelek', 'minggu', 'susah', 'tidur']",jujur cemas pas nilai jelek minggu susah tidur,1
Hari ini bikin emosi karena pesanan datang salah,angry,Hari ini bikin emosi karena pesanan datang salah,hari ini bikin emosi karena pesanan datang salah,hari ini bikin emosi karena pesanan datang salah,"['hari', 'ini', 'bikin', 'emosi', 'karena', 'pesanan', 'datang', 'salah']","['bikin', 'emosi', 'pesanan', 'salah']",bikin emosi pesanan salah,0
Tadi pagi karena bisa tidur cukup,happy,Tadi pagi karena bisa tidur cukup,tadi pagi karena bisa tidur cukup,tadi pagi karena bisa tidur cukup,"['tadi', 'pagi', 'karena', 'bisa', 'tidur', 'cukup']","['pagi', 'tidur']",pagi tidur,2
Akhirnya karena jualan rame dan hariku jadi lebih enak,happy,Akhirnya karena jualan rame dan hariku jadi lebih enak,akhirnya karena jualan rame dan hariku jadi lebih enak,akhirnya karena jualan ramai dan hariku jadi lebih enak,"['akhirnya', 'karena', 'jualan', 'ramai', 'dan', 'hariku', 'jadi', 'lebih', 'enak']","['jualan', 'ramai', 'hariku', 'enak']",jualan ramai hariku enak,2
Akhir-akhir ini karena kontrak kerja ga diperpanjang rasanya ga tenang,fear,Akhirakhir ini karena kontrak kerja ga diperpanjang rasanya ga tenang,akhir-akhir ini karena kontrak kerja ga diperpanjang rasanya ga tenang,akhir-akhir ini karena kontrak kerja ga diperpanjang rasanya ga tenang,"['akhir-akhir', 'ini', 'karena', 'kontrak', 'kerja', 'ga', 'diperpanjang', 'rasanya', 'ga', 'tenang']","['akhir-akhir', 'kontrak', 'kerja', 'diperpanjang', 'tenang']",akhir-akhir kontrak kerja diperpanjang tenang,1
Kesel banget pas chat penting dicuekin dan bikin stres banget,angry,Kesel banget pas chat penting dicuekin dan bikin stres banget,kesel banget pas chat penting dicuekin dan bikin stres banget,kesel banget pas chat penting dicuekin dan bikin stres banget,"['kesel', 'banget', 'pas', 'chat', 'penting', 'dicuekin', 'dan', 'bikin', 'stres', 'banget']","['kesel', 'banget', 'pas', 'chat', 'dicuekin', 'bikin', 'stres', 'banget']",kesel banget pas chat dicuekin bikin stres banget,0
Capek banget karena merasa ga dihargai susah fokus sejak tadi,sad,Capek banget karena merasa ga dihargai susah fokus sejak tadi,capek banget karena merasa ga dihargai susah fokus sejak tadi,capek banget karena merasa ga dihargai susah fokus sejak tadi,"['capek', 'banget', 'karena', 'merasa', 'ga', 'dihargai', 'susah', 'fokus', 'sejak', 'tadi']","['capek', 'banget', 'dihargai', 'susah', 'fokus']",capek banget dihargai susah fokus,4
pagi2 mmbuat emosi gan,angry,pagi mmbuat emosi gan,pagi2 mmbuat emosi gan,pagi2 mmbuat emosi juragan,"['pagi2', 'mmbuat', 'emosi', 'juragan']","['pagi2', 'mmbuat', 'emosi', 'juragan']",pagi2 mmbuat emosi juragan,0
"ahaha betuls, takut kayak yang waktu kemarin udah pede salah nah yang sekarang bener",fear,ahaha betuls takut kayak yang waktu kemarin udah pede salah nah yang sekarang bener,"ahaha betuls, takut kayak yang waktu kemarin udah pede salah nah yang sekarang bener","haha betuls, takut kayak yang waktu kemarin sudah percaya diri salah nah yang sekarang benar","['haha', 'betuls', ',', 'takut', 'kayak', 'yang', 'waktu', 'kemarin', 'sudah', 'percaya', 'diri', 'salah', 'nah', 'yang', 'sekarang', 'benar']","['haha', 'betuls', ',', 'takut', 'kayak', 'kemarin', 'percaya', 'salah']","haha betuls , takut kayak kemarin percaya salah",1
Jengkel parah pas jalan macet total aku jadi susah tenang,angry,Jengkel parah pas jalan macet total aku jadi susah tenang,jengkel parah pas jalan macet total aku jadi susah tenang,jengkel parah pas jalan macet total aku jadi susah tenang,"['jengkel', 'parah', 'pas', 'jalan', 'macet', 'total', 'aku', 'jadi', 'susah', 'tenang']","['jengkel', 'parah', 'pas', 'jalan', 'macet', 'total', 'susah', 'tenang']",jengkel parah pas jalan macet total susah tenang,0
"Sekarang lagi, minum kopi sambil kerja",neutral,Sekarang lagi minum kopi sambil kerja,"sekarang lagi, minum kopi sambil kerja","sekarang lagi, minum kopi sambil kerja","['sekarang', 'lagi', ',', 'minum', 'kopi', 'sambil', 'kerja']","[',', 'minum', 'kopi', 'kerja']",", minum kopi kerja",3
"wkwkw infp bener bgtt. udah gelisah gelisah panik tapi tetep kek, ""haduh sebentar lah main farmville dulu"" ""duh ngantuk yaudahlah tidur dulu""",fear,wkwkw infp bener bgtt udah gelisah gelisah panik tapi tetep kek haduh sebentar lah main farmville dulu duh ngantuk yaudahlah tidur dulu,"wkwkw infp bener bgtt. udah gelisah gelisah panik tapi tetep kek, ""haduh sebentar lah main farmville dulu"" ""duh ngantuk yaudahlah tidur dulu""","wkwkw infp benar bgtt. sudah gelisah gelisah panik tapi tetep kek, ""haduh sebentar lah main farmville dulu"" ""duh ngantuk yaudahlah tidur dulu""","['wkwkw', 'infp', 'benar', 'bgtt', '.', 'sudah', 'gelisah', 'gelisah', 'panik', 'tapi', 'tetep', 'kek', ',', '``', 'haduh', 'sebentar', 'lah', 'main', 'farmville', 'dulu', ""''"", '``', 'duh', 'ngantuk', 'yaudahlah', 'tidur', 'dulu', ""''""]","['wkwkw', 'infp', 'bgtt', '.', 'gelisah', 'gelisah', 'panik', 'tetep', 'kek', ',', '``', 'haduh', 'sebentar', 'main', 'farmville', ""''"", '``', 'duh', 'ngantuk', 'yaudahlah', 'tidur', ""''""]","wkwkw infp bgtt . gelisah gelisah panik tetep kek , `` haduh sebentar main farmville '' `` duh ngantuk yaudahlah tidur ''",1
Jujur agak cemas sidang skripsi gagal,fear,Jujur agak cemas sidang skripsi gagal,jujur agak cemas sidang skripsi gagal,jujur agak cemas sidang skripsi gagal,"['jujur', 'agak', 'cemas', 'sidang', 'skripsi', 'gagal']","['jujur', 'cemas', 'sidang', 'skripsi', 'gagal']",jujur cemas sidang skripsi gagal,1
Hari ini pas jalan sore,neutral,Hari ini pas jalan sore,hari ini pas jalan sore,hari ini pas jalan sore,"['hari', 'ini', 'pas', 'jalan', 'sore']","['pas', 'jalan', 'sore']",pas jalan sore,3
"makasi kembali ka, semangat pagi ^o^",happy,makasi kembali ka semangat pagi o,"makasi kembali ka, semangat pagi ^o^","makasi kembali ka, semangat pagi ^o^","['makasi', 'kembali', 'ka', ',', 'semangat', 'pagi', '^o^']","['makasi', 'ka', ',', 'semangat', 'pagi', '^o^']","makasi ka , semangat pagi ^o^",2
Gila sih karena chat penting dicuekin,angry,Gila sih karena chat penting dicuekin,gila sih karena chat penting dicuekin,gila sih karena chat penting dicuekin,"['gila', 'sih', 'karena', 'chat', 'penting', 'dicuekin']","['gila', 'chat', 'dicuekin']",gila chat dicuekin,0
Seharian ini karena planning berantakan dan itu bikin down,sad,Seharian ini karena planning berantakan dan itu bikin down,seharian ini karena planning berantakan dan itu bikin down,seharian ini karena planning berantakan dan itu bikin down,"['seharian', 'ini', 'karena', 'planning', 'berantakan', 'dan', 'itu', 'bikin', 'down']","['seharian', 'planning', 'berantakan', 'bikin']",seharian planning berantakan bikin,4
Aku jadi kepikiran pas kontrak kerja ga diperpanjang,fear,Aku jadi kepikiran pas kontrak kerja ga diperpanjang,aku jadi kepikiran pas kontrak kerja ga diperpanjang,aku jadi terpikirkan pas kontrak kerja ga diperpanjang,"['aku', 'jadi', 'terpikirkan', 'pas', 'kontrak', 'kerja', 'ga', 'diperpanjang']","['terpikirkan', 'pas', 'kontrak', 'kerja', 'diperpanjang']",terpikirkan pas kontrak kerja diperpanjang,1
Serius deh pas jualan rame meski kemarin sempat capek,happy,Serius deh pas jualan rame meski kemarin sempat capek,serius deh pas jualan rame meski kemarin sempat capek,serius deh pas jualan ramai meski kemarin sempat capek,"['serius', 'deh', 'pas', 'jualan', 'ramai', 'meski', 'kemarin', 'sempat', 'capek']","['serius', 'deh', 'pas', 'jualan', 'ramai', 'kemarin', 'capek']",serius deh pas jualan ramai kemarin capek,2
bisaa dong yah! jgn bikin emosi dulu pagi-pagi !!,angry,bisaa dong yah jgn bikin emosi dulu pagipagi,bisaa dong yah! jgn bikin emosi dulu pagi-pagi !!,bisaa dong yah! jangan bikin emosi dulu pagi-pagi !!,"['bisaa', 'dong', 'yah', '!', 'jangan', 'bikin', 'emosi', 'dulu', 'pagi-pagi', '!', '!']","['bisaa', 'yah', '!', 'bikin', 'emosi', 'pagi-pagi', '!', '!']",bisaa yah ! bikin emosi pagi-pagi ! !,0
"ketika kamu bersyukur, kamu tak akan merasa sedih pun merasa kekurangan dan ketika kamu mengeluh, akan bertambah kesusahan",neutral,ketika kamu bersyukur kamu tak akan merasa sedih pun merasa kekurangan dan ketika kamu mengeluh akan bertambah kesusahan,"ketika kamu bersyukur, kamu tak akan merasa sedih pun merasa kekurangan dan ketika kamu mengeluh, akan bertambah kesusahan","ketika kamu bersyukur, kamu tidak akan merasa sedih pun merasa kekurangan dan ketika kamu mengeluh, akan bertambah kesusahan","['ketika', 'kamu', 'bersyukur', ',', 'kamu', 'tidak', 'akan', 'merasa', 'sedih', 'pun', 'merasa', 'kekurangan', 'dan', 'ketika', 'kamu', 'mengeluh', ',', 'akan', 'bertambah', 'kesusahan']","['bersyukur', ',', 'sedih', 'kekurangan', 'mengeluh', ',', 'bertambah', 'kesusahan']","bersyukur , sedih kekurangan mengeluh , bertambah kesusahan",3
Tadi pagi crush bales chat,happy,Tadi pagi crush bales chat,tadi pagi crush bales chat,tadi pagi crush balas chat,"['tadi', 'pagi', 'crush', 'balas', 'chat']","['pagi', 'crush', 'balas', 'chat']",pagi crush balas chat,2
Tadi siang pas internet mati pas meeting kepala langsung panas,angry,Tadi siang pas internet mati pas meeting kepala langsung panas,tadi siang pas internet mati pas meeting kepala langsung panas,tadi siang pas internet mati pas meeting kepala langsung panas,"['tadi', 'siang', 'pas', 'internet', 'mati', 'pas', 'meeting', 'kepala', 'langsung', 'panas']","['siang', 'pas', 'internet', 'mati', 'pas', 'meeting', 'kepala', 'langsung', 'panas']",siang pas internet mati pas meeting kepala langsung panas,0
Sekarang lagi pas jalan sore kayak hari biasa aja,neutral,Sekarang lagi pas jalan sore kayak hari biasa aja,sekarang lagi pas jalan sore kayak hari biasa aja,sekarang lagi pas jalan sore kayak hari biasa saja,"['sekarang', 'lagi', 'pas', 'jalan', 'sore', 'kayak', 'hari', 'biasa', 'saja']","['pas', 'jalan', 'sore', 'kayak']",pas jalan sore kayak,3
"Hari ini, dosen acc proposal meski kemarin sempat capek",happy,Hari ini dosen acc proposal meski kemarin sempat capek,"hari ini, dosen acc proposal meski kemarin sempat capek","hari ini, dosen accord proposal meski kemarin sempat capek","['hari', 'ini', ',', 'dosen', 'accord', 'proposal', 'meski', 'kemarin', 'sempat', 'capek']","[',', 'dosen', 'accord', 'proposal', 'kemarin', 'capek']",", dosen accord proposal kemarin capek",2
Hari ini biasa aja karena main game sebentar ga terlalu capek juga,neutral,Hari ini biasa aja karena main game sebentar ga terlalu capek juga,hari ini biasa aja karena main game sebentar ga terlalu capek juga,hari ini biasa saja karena main game sebentar ga terlalu capek juga,"['hari', 'ini', 'biasa', 'saja', 'karena', 'main', 'game', 'sebentar', 'ga', 'terlalu', 'capek', 'juga']","['main', 'game', 'sebentar', 'capek']",main game sebentar capek,3
"Seharian ini, ga ada yang ngerti kondisi aku rasanya pengen sendiri dulu",sad,Seharian ini ga ada yang ngerti kondisi aku rasanya pengen sendiri dulu,"seharian ini, ga ada yang ngerti kondisi aku rasanya pengen sendiri dulu","seharian ini, ga ada yang mengerti kondisi aku rasanya pengen sendiri dulu","['seharian', 'ini', ',', 'ga', 'ada', 'yang', 'mengerti', 'kondisi', 'aku', 'rasanya', 'pengen', 'sendiri', 'dulu']","['seharian', ',', 'mengerti', 'kondisi', 'pengen']","seharian , mengerti kondisi pengen",4
Rasanya orang rumah lagi ribut dan itu bikin down,sad,Rasanya orang rumah lagi ribut dan itu bikin down,rasanya orang rumah lagi ribut dan itu bikin down,rasanya orang rumah lagi ribut dan itu bikin down,"['rasanya', 'orang', 'rumah', 'lagi', 'ribut', 'dan', 'itu', 'bikin', 'down']","['orang', 'rumah', 'ribut', 'bikin']",orang rumah ribut bikin,4
Hari ini karena gagal mencapai target aku jadi overthinking,sad,Hari ini karena gagal mencapai target aku jadi overthinking,hari ini karena gagal mencapai target aku jadi overthinking,hari ini karena gagal mencapai target aku jadi overthinking,"['hari', 'ini', 'karena', 'gagal', 'mencapai', 'target', 'aku', 'jadi', 'overthinking']","['gagal', 'mencapai', 'target', 'overthinking']",gagal mencapai target overthinking,4
Deg-degan banget pas kontrak kerja ga diperpanjang,fear,Degdegan banget pas kontrak kerja ga diperpanjang,deg-degan banget pas kontrak kerja ga diperpanjang,deg-degan banget pas kontrak kerja ga diperpanjang,"['deg-degan', 'banget', 'pas', 'kontrak', 'kerja', 'ga', 'diperpanjang']","['deg-degan', 'banget', 'pas', 'kontrak', 'kerja', 'diperpanjang']",deg-degan banget pas kontrak kerja diperpanjang,1
Perasaan ga enak pas tabungan makin menipis seharian jadi kepikiran,fear,Perasaan ga enak pas tabungan makin menipis seharian jadi kepikiran,perasaan ga enak pas tabungan makin menipis seharian jadi kepikiran,perasaan ga enak pas tabungan makin menipis seharian jadi terpikirkan,"['perasaan', 'ga', 'enak', 'pas', 'tabungan', 'makin', 'menipis', 'seharian', 'jadi', 'terpikirkan']","['perasaan', 'enak', 'pas', 'tabungan', 'menipis', 'seharian', 'terpikirkan']",perasaan enak pas tabungan menipis seharian terpikirkan,1
Seharian jalan sore kayak hari biasa aja,neutral,Seharian jalan sore kayak hari biasa aja,seharian jalan sore kayak hari biasa aja,seharian jalan sore kayak hari biasa saja,"['seharian', 'jalan', 'sore', 'kayak', 'hari', 'biasa', 'saja']","['seharian', 'jalan', 'sore', 'kayak']",seharian jalan sore kayak,3
Ga ada hal spesial karena rapat mingguan,neutral,Ga ada hal spesial karena rapat mingguan,ga ada hal spesial karena rapat mingguan,ga ada hal spesial karena rapat mingguan,"['ga', 'ada', 'hal', 'spesial', 'karena', 'rapat', 'mingguan']","['spesial', 'rapat', 'mingguan']",spesial rapat mingguan,3
"dlm mengobrol kita gk hrs jd pelawak,,to kita beri pesan bahwa kita bkn lh org yg sangar..",neutral,dlm mengobrol kita gk hrs jd pelawakto kita beri pesan bahwa kita bkn lh org yg sangar,"dlm mengobrol kita gk hrs jd pelawak,,to kita beri pesan bahwa kita bkn lh org yg sangar..","dlm mengobrol kita gk harus jadi pelawak,,to kita beri pesan bahwa kita bukan lh org yang sangar..","['dlm', 'mengobrol', 'kita', 'gk', 'harus', 'jadi', 'pelawak', ',', ',to', 'kita', 'beri', 'pesan', 'bahwa', 'kita', 'bukan', 'lh', 'org', 'yang', 'sangar', '..']","['dlm', 'mengobrol', 'gk', 'pelawak', ',', ',to', 'pesan', 'lh', 'org', 'sangar', '..']","dlm mengobrol gk pelawak , ,to pesan lh org sangar ..",3
"Mood lagi bagus, berhasil deploy aplikasi dan hariku jadi lebih enak",happy,Mood lagi bagus berhasil deploy aplikasi dan hariku jadi lebih enak,"mood lagi bagus, berhasil deploy aplikasi dan hariku jadi lebih enak","mood lagi bagus, berhasil deploy aplikasi dan hariku jadi lebih enak","['mood', 'lagi', 'bagus', ',', 'berhasil', 'deploy', 'aplikasi', 'dan', 'hariku', 'jadi', 'lebih', 'enak']","['mood', 'bagus', ',', 'berhasil', 'deploy', 'aplikasi', 'hariku', 'enak']","mood bagus , berhasil deploy aplikasi hariku enak",2
Aku lagi baca artikel teknologi ga terlalu capek juga,neutral,Aku lagi baca artikel teknologi ga terlalu capek juga,aku lagi baca artikel teknologi ga terlalu capek juga,aku lagi baca artikel teknologi ga terlalu capek juga,"['aku', 'lagi', 'baca', 'artikel', 'teknologi', 'ga', 'terlalu', 'capek', 'juga']","['baca', 'artikel', 'teknologi', 'capek']",baca artikel teknologi capek,3
Sekarang lagi karena nonton youtube,neutral,Sekarang lagi karena nonton youtube,sekarang lagi karena nonton youtube,sekarang lagi karena nonton youtube,"['sekarang', 'lagi', 'karena', 'nonton', 'youtube']","['nonton', 'youtube']",nonton youtube,3
"morning moots semangat, bsk kembali nganggur.",happy,morning moots semangat bsk kembali nganggur,"morning moots semangat, bsk kembali nganggur.","morning moots semangat, besok kembali nganggur.","['morning', 'moots', 'semangat', ',', 'besok', 'kembali', 'nganggur', '.']","['morning', 'moots', 'semangat', ',', 'besok', 'nganggur', '.']","morning moots semangat , besok nganggur .",2
Hari ini bikin emosi karena ada yang nyalahin tanpa cek fakta aku jadi susah tenang,angry,Hari ini bikin emosi karena ada yang nyalahin tanpa cek fakta aku jadi susah tenang,hari ini bikin emosi karena ada yang nyalahin tanpa cek fakta aku jadi susah tenang,hari ini bikin emosi karena ada yang nyalahin tanpa cek fakta aku jadi susah tenang,"['hari', 'ini', 'bikin', 'emosi', 'karena', 'ada', 'yang', 'nyalahin', 'tanpa', 'cek', 'fakta', 'aku', 'jadi', 'susah', 'tenang']","['bikin', 'emosi', 'nyalahin', 'cek', 'fakta', 'susah', 'tenang']",bikin emosi nyalahin cek fakta susah tenang,0
"Sekarang lagi takut, takut mengecewakan tim",fear,Sekarang lagi takut takut mengecewakan tim,"sekarang lagi takut, takut mengecewakan tim","sekarang lagi takut, takut mengecewakan tim","['sekarang', 'lagi', 'takut', ',', 'takut', 'mengecewakan', 'tim']","['takut', ',', 'takut', 'mengecewakan', 'tim']","takut , takut mengecewakan tim",1
"Jujur, IPK turun aku jadi males ngomong",sad,Jujur IPK turun aku jadi males ngomong,"jujur, ipk turun aku jadi males ngomong","jujur, ipk turun aku jadi males bicara","['jujur', ',', 'ipk', 'turun', 'aku', 'jadi', 'males', 'bicara']","['jujur', ',', 'ipk', 'turun', 'males', 'bicara']","jujur , ipk turun males bicara",4
Deg-degan banget pas sidang skripsi gagal,fear,Degdegan banget pas sidang skripsi gagal,deg-degan banget pas sidang skripsi gagal,deg-degan banget pas sidang skripsi gagal,"['deg-degan', 'banget', 'pas', 'sidang', 'skripsi', 'gagal']","['deg-degan', 'banget', 'pas', 'sidang', 'skripsi', 'gagal']",deg-degan banget pas sidang skripsi gagal,1
Malam ini gagal mencapai target aku jadi males ngomong,sad,Malam ini gagal mencapai target aku jadi males ngomong,malam ini gagal mencapai target aku jadi males ngomong,malam ini gagal mencapai target aku jadi males bicara,"['malam', 'ini', 'gagal', 'mencapai', 'target', 'aku', 'jadi', 'males', 'bicara']","['malam', 'gagal', 'mencapai', 'target', 'males', 'bicara']",malam gagal mencapai target males bicara,4
Ga ada hal spesial pas edit dokumen kayak hari biasa aja,neutral,Ga ada hal spesial pas edit dokumen kayak hari biasa aja,ga ada hal spesial pas edit dokumen kayak hari biasa aja,ga ada hal spesial pas edit dokumen kayak hari biasa saja,"['ga', 'ada', 'hal', 'spesial', 'pas', 'edit', 'dokumen', 'kayak', 'hari', 'biasa', 'saja']","['spesial', 'pas', 'edit', 'dokumen', 'kayak']",spesial pas edit dokumen kayak,3
"Akhirnya, presentasi lancar pokoknya lega banget",happy,Akhirnya presentasi lancar pokoknya lega banget,"akhirnya, presentasi lancar pokoknya lega banget","akhirnya, presentasi lancar pokoknya lega banget","['akhirnya', ',', 'presentasi', 'lancar', 'pokoknya', 'lega', 'banget']","[',', 'presentasi', 'lancar', 'pokoknya', 'lega', 'banget']",", presentasi lancar pokoknya lega banget",2
Aku lagi dengerin musik kayak hari biasa aja,neutral,Aku lagi dengerin musik kayak hari biasa aja,aku lagi dengerin musik kayak hari biasa aja,aku lagi dengerin musik kayak hari biasa saja,"['aku', 'lagi', 'dengerin', 'musik', 'kayak', 'hari', 'biasa', 'saja']","['dengerin', 'musik', 'kayak']",dengerin musik kayak,3
Barusan pas tim ga koordinasi kepala langsung panas,angry,Barusan pas tim ga koordinasi kepala langsung panas,barusan pas tim ga koordinasi kepala langsung panas,barusan pas tim ga koordinasi kepala langsung panas,"['barusan', 'pas', 'tim', 'ga', 'koordinasi', 'kepala', 'langsung', 'panas']","['barusan', 'pas', 'tim', 'koordinasi', 'kepala', 'langsung', 'panas']",barusan pas tim koordinasi kepala langsung panas,0
"Hari ini, diterima magang",happy,Hari ini diterima magang,"hari ini, diterima magang","hari ini, diterima magang","['hari', 'ini', ',', 'diterima', 'magang']","[',', 'diterima', 'magang']",", diterima magang",2
"streaming nya enjoy sih, soalnya lagunya enak hehe",happy,streaming nya enjoy sih soalnya lagunya enak hehe,"streaming nya enjoy sih, soalnya lagunya enak hehe","streaming nya enjoy sih, soalnya lagunya enak he","['streaming', 'nya', 'enjoy', 'sih', ',', 'soalnya', 'lagunya', 'enak', 'he']","['streaming', 'enjoy', ',', 'lagunya', 'enak']","streaming enjoy , lagunya enak",2
Aku cuma jalan sore,neutral,Aku cuma jalan sore,aku cuma jalan sore,aku cuma jalan sore,"['aku', 'cuma', 'jalan', 'sore']","['jalan', 'sore']",jalan sore,3
Rasanya pas burnout kuliah aku jadi overthinking,sad,Rasanya pas burnout kuliah aku jadi overthinking,rasanya pas burnout kuliah aku jadi overthinking,rasanya pas burnout kuliah aku jadi overthinking,"['rasanya', 'pas', 'burnout', 'kuliah', 'aku', 'jadi', 'overthinking']","['pas', 'burnout', 'kuliah', 'overthinking']",pas burnout kuliah overthinking,4
"Sekarang lagi takut, orang tua sakit aku jadi overthinking terus",fear,Sekarang lagi takut orang tua sakit aku jadi overthinking terus,"sekarang lagi takut, orang tua sakit aku jadi overthinking terus","sekarang lagi takut, orang tua sakit aku jadi overthinking terus","['sekarang', 'lagi', 'takut', ',', 'orang', 'tua', 'sakit', 'aku', 'jadi', 'overthinking', 'terus']","['takut', ',', 'orang', 'tua', 'sakit', 'overthinking']","takut , orang tua sakit overthinking",1
senang bermain salju,happy,senang bermain salju,senang bermain salju,senang bermain salju,"['senang', 'bermain', 'salju']","['senang', 'bermain', 'salju']",senang bermain salju,2
"Aku jadi kepikiran, orang tua sakit seharian jadi kepikiran",fear,Aku jadi kepikiran orang tua sakit seharian jadi kepikiran,"aku jadi kepikiran, orang tua sakit seharian jadi kepikiran","aku jadi kepikiran, orang tua sakit seharian jadi terpikirkan","['aku', 'jadi', 'kepikiran', ',', 'orang', 'tua', 'sakit', 'seharian', 'jadi', 'terpikirkan']","['kepikiran', ',', 'orang', 'tua', 'sakit', 'seharian', 'terpikirkan']","kepikiran , orang tua sakit seharian terpikirkan",1
"Capek banget, burnout kuliah dan itu bikin down",sad,Capek banget burnout kuliah dan itu bikin down,"capek banget, burnout kuliah dan itu bikin down","capek banget, burnout kuliah dan itu bikin down","['capek', 'banget', ',', 'burnout', 'kuliah', 'dan', 'itu', 'bikin', 'down']","['capek', 'banget', ',', 'burnout', 'kuliah', 'bikin']","capek banget , burnout kuliah bikin",4
Aku jadi kepikiran belum siap menghadapi interview,fear,Aku jadi kepikiran belum siap menghadapi interview,aku jadi kepikiran belum siap menghadapi interview,aku jadi terpikirkan belum siap menghadapi interview,"['aku', 'jadi', 'terpikirkan', 'belum', 'siap', 'menghadapi', 'interview']","['terpikirkan', 'menghadapi', 'interview']",terpikirkan menghadapi interview,1
Weekend ini pas main game sebentar ga terlalu capek juga,neutral,Weekend ini pas main game sebentar ga terlalu capek juga,weekend ini pas main game sebentar ga terlalu capek juga,weekend ini pas main game sebentar ga terlalu capek juga,"['weekend', 'ini', 'pas', 'main', 'game', 'sebentar', 'ga', 'terlalu', 'capek', 'juga']","['weekend', 'pas', 'main', 'game', 'sebentar', 'capek']",weekend pas main game sebentar capek,3
Barusan karena presentasi lancar jadi semangat lagi,happy,Barusan karena presentasi lancar jadi semangat lagi,barusan karena presentasi lancar jadi semangat lagi,barusan karena presentasi lancar jadi semangat lagi,"['barusan', 'karena', 'presentasi', 'lancar', 'jadi', 'semangat', 'lagi']","['barusan', 'presentasi', 'lancar', 'semangat']",barusan presentasi lancar semangat,2
